Date, Date modified: 2024-11  missing value -999 https://psl.noaa.gov/data/timeseries/month/
1948-01-01, 1557.000
1948-02-01, 1343.000
1948-03-01, 1355.000
1948-04-01, 2081.000
1948-05-01, 2265.000
1948-06-01, 1955.000
1948-07-01, 1828.000
1948-08-01, 1728.000
1948-09-01, 1637.000
1948-10-01, 1591.000
1948-11-01, 1654.000
1948-12-01, 1933.000
1949-01-01, 1835.000
1949-02-01, 2202.000
1949-03-01, 2039.000
1949-04-01, 1825.000
1949-05-01, 1549.000
1949-06-01, 1575.000
1949-07-01, 1599.000
1949-08-01, 1752.000
1949-09-01, 1725.000
1949-10-01, 1782.000
1949-11-01, 1804.000
1949-12-01, 1652.000
1950-01-01, 1507.000
1950-02-01, 1433.000
1950-03-01, 1378.000
1950-04-01, 1643.000
1950-05-01, 1571.000
1950-06-01, 1287.000
1950-07-01, 1341.000
1950-08-01, 1209.000
1950-09-01,  986.000
1950-10-01,  999.000
1950-11-01, 1019.000
1950-12-01, 1011.000
1951-01-01, 1079.000
1951-02-01, 1019.000
1951-03-01, 1025.000
1951-04-01, 1271.000
1951-05-01, 1686.000
1951-06-01, 1617.000
1951-07-01, 1163.000
1951-08-01, 1098.000
1951-09-01, 1178.000
1951-10-01, 1060.000
1951-11-01, 1044.000
1951-12-01, 1024.000
1952-01-01,  954.000
1952-02-01,  862.000
1952-03-01,  785.000
1952-04-01,  840.000
1952-05-01,  809.000
1952-06-01,  848.000
1952-07-01,  888.000
1952-08-01,  933.000
1952-09-01,  815.000
1952-10-01,  828.000
1952-11-01,  834.000
1952-12-01,  857.000
1953-01-01,  832.000
1953-02-01,  728.000
1953-03-01,  704.000
1953-04-01,  810.000
1953-05-01,  725.000
1953-06-01,  730.000
1953-07-01,  698.000
1953-08-01,  755.000
1953-09-01,  743.000
1953-10-01,  719.000
1953-11-01,  714.000
1953-12-01,  708.000
1954-01-01,  687.000
1954-02-01,  692.000
1954-03-01,  719.000
1954-04-01,  687.000
1954-05-01,  680.000
1954-06-01,  673.000
1954-07-01,  677.000
1954-08-01,  699.000
1954-09-01,  701.000
1954-10-01,  732.000
1954-11-01,  726.000
1954-12-01,  755.000
1955-01-01,  843.000
1955-02-01,  820.000
1955-03-01,  748.000
1955-04-01,  773.000
1955-05-01,  828.000
1955-06-01,  888.000
1955-07-01,  873.000
1955-08-01,  907.000
1955-09-01,  951.000
1955-10-01, 1118.000
1955-11-01, 1300.000
1955-12-01, 1346.000
1956-01-01, 1412.000
1956-02-01, 1672.000
1956-03-01, 1606.000
1956-04-01, 1659.000
1956-05-01, 1634.000
1956-06-01, 1540.000
1956-07-01, 1628.000
1956-08-01, 1938.000
1956-09-01, 2009.000
1956-10-01, 2016.000
1956-11-01, 2504.000
1956-12-01, 2537.000
1957-01-01, 2312.000
1957-02-01, 1867.000
1957-03-01, 1978.000
1957-04-01, 2000.000
1957-05-01, 2085.000
1957-06-01, 2521.000
1957-07-01, 2180.000
1957-08-01, 2023.000
1957-09-01, 2671.000
1957-10-01, 2831.000
1957-11-01, 2592.000
1957-12-01, 2865.000
1958-01-01, 2515.000
1958-02-01, 2122.000
1958-03-01, 2515.000
1958-04-01, 2459.000
1958-05-01, 2186.000
1958-06-01, 2205.000
1958-07-01, 2241.000
1958-08-01, 2370.000
1958-09-01, 2435.000
1958-10-01, 2280.000
1958-11-01, 2092.000
1958-12-01, 2382.000
1959-01-01, 2745.000
1959-02-01, 2079.000
1959-03-01, 2292.000
1959-04-01, 2106.000
1959-05-01, 2127.000
1959-06-01, 2175.000
1959-07-01, 2030.000
1959-08-01, 2342.000
1959-09-01, 1943.000
1959-10-01, 1651.000
1959-11-01, 1848.000
1959-12-01, 1822.000
1960-01-01, 2026.000
1960-02-01, 1709.000
1960-03-01, 1468.000
1960-04-01, 1676.000
1960-05-01, 1627.000
1960-06-01, 1619.000
1960-07-01, 1639.000
1960-08-01, 1744.000
1960-09-01, 1645.000
1960-10-01, 1423.000
1960-11-01, 1489.000
1960-12-01, 1381.000
1961-01-01, 1220.000
1961-02-01, 1064.000
1961-03-01, 1048.000
1961-04-01, 1050.000
1961-05-01,  993.000
1961-06-01, 1099.000
1961-07-01, 1165.000
1961-08-01, 1062.000
1961-09-01, 1127.000
1961-10-01,  967.000
1961-11-01,  903.000
1961-12-01,  948.000
1962-01-01,  949.000
1962-02-01, 1022.000
1962-03-01, 1003.000
1962-04-01,  962.000
1962-05-01,  979.000
1962-06-01,  910.000
1962-07-01,  807.000
1962-08-01,  773.000
1962-09-01,  895.000
1962-10-01,  878.000
1962-11-01,  849.000
1962-12-01,  820.000
1963-01-01,  795.000
1963-02-01,  797.000
1963-03-01,  778.000
1963-04-01,  795.000
1963-05-01,  878.000
1963-06-01,  835.000
1963-07-01,  759.000
1963-08-01,  809.000
1963-09-01,  851.000
1963-10-01,  851.000
1963-11-01,  817.000
1963-12-01,  784.000
